Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
39715684,"Unfuck Yourself: Raus aus dem Kopf, rein ins Leben!",Gary John Bishop,"Bishop, Gary John",Jochen Lehner,"=""""","=""""",0,3.85,L.E.O Verlag,Kindle Edition,200,2018,2016,,2020/10/13,,,read,,,,1,,,0,,,,,
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.37,Houghton Mifflin Harcourt,Hardcover,415,2019,2019,,2020/10/13,,,read,,,,1,,,0,,,,,
39286958,Measure What Matters,John E. Doerr,"Doerr, John E.",,"=""""","=""""",0,4.01,Penguin,Kindle Edition,320,2018,2017,,2020/10/13,,,read,,,,1,,,0,,,,,
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",0,4.38,Harper Business,Hardcover,274,2016,2016,,2020/10/13,,,read,,,,2,,,0,,,,,
35747076,Accelerate: Building and Scaling High-Performing Technology Organizations,Nicole Forsgren,"Forsgren, Nicole","Jez Humble, Gene Kim","=""1942788339""","=""9781942788331""",5,4.09,It Revolution Press,Paperback,257,2018,,,2020/10/13,,,read,,,,1,,,0,,,,,
6931717,Dois Irmãos,Milton Hatoum,"Hatoum, Milton",,"=""""","=""9788535900132""",0,4.14,Companhia das Letras,Paperback,292,2000,2000,,2020/10/13,,,read,,,,1,,,0,,,,,
36324570,PROCRASTINAÇÃO: Guia científico sobre como parar de procrastinar (definitivamente),Lílian Soares,"Soares, Lílian",,"=""""","=""""",0,3.97,,Kindle Edition,153,2017,,,2020/10/13,,,read,,,,1,,,0,,,,,
43831373,Darwin Sem Frescura,Pirula,"Pirula, Pirula",Reinaldo José Lopes,"=""0000185574""","=""9780000185570""",0,4.24,HarperCollins,Paperback,256,2019,,,2020/10/13,,,read,,,,1,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",4,4.14,Simon & Schuster,Hardcover,600,2017,2017,,2020/10/13,,,read,,,,1,,,0,,,,,
40230549,A Quarta Revolução Industrial,Klaus Schwab,"Schwab, Klaus",,"=""857283978X""","=""9788572839785""",0,3.67,Edipro,Paperback,160,2016,2016,,2020/10/13,,,read,,,,1,,,0,,,,,
